Stadium,Split,Set,PA,Hits,Singles,Doubles,Homeruns,Strikeoutper,Walkper,xBA,xSLG,xwOBA,BABIP,AVG,Hits/PA,Singles/PA,Doubles/PA,Homeruns/PA,K_rate,Walk_rate,xBA_avg,xSLG_avg,xwOBA_avg,BABIP_avg,AVG_avg,Hits_boost,Singles_boost,Doubles_boost,Homeruns_boost,K_rate_boost,Walk_rate_boost,xBA_avg_boost,xSLG_avg_boost,xwOBA_avg_boost,BABIP_avg_boost,AVG_avg_boost
"MIL","LHH","",5083,1074,738,163,142,20,9.8,0.263,0.382,0.32,0.302,0.25,0.2112925438,0.1451898485,0.03206767657,0.02793625812,0.272751269,0.07649746193,0.2160964467,0.3458832487,0.2811319797,0.2624467005,0.2076751269,0.9679386089,1.038166383,0.7612008318,0.8807152485,1.180395928,0.9362034438,0.908103424,0.8951766363,0.9202664244,0.9409676489,0.8996475729
"MIN","LHH","",5603,1251,815,232,185,22.1,10.1,0.262,0.456,0.344,0.307,0.264,0.2232732465,0.1454577905,0.04140638943,0.03301802606,0.2380048309,0.06603381643,0.2406183575,0.3967874396,0.3030241546,0.308468599,0.2550289855,1.022822631,1.040082277,0.9828768858,1.040922478,1.03002246,0.8081455879,1.011152,1.026921214,0.9919289707,1.105973029,1.104784243
"NYM","LHH","",5184,1076,696,204,161,22.9,9.3,0.241,0.412,0.323,0.282,0.244,0.2075617284,0.1342592593,0.03935185185,0.03105709877,0.2342424242,0.09628282828,0.2324848485,0.3607828283,0.2995050505,0.2781919192,0.2308686869,0.9508476118,0.9600082303,0.9341076613,0.9791025106,1.013739751,1.178343871,0.9769725054,0.9337380745,0.9804094228,0.9974200309,1.000121954
"NYY","LHH","",5657,1163,729,211,206,22,10.2,0.242,0.444,0.339,0.247,0.222,0.2055859996,0.1288668906,0.03729892169,0.03641506099,0.2318522167,0.09410344828,0.2314876847,0.3904975369,0.309955665,0.2599753695,0.2196847291,0.9417967286,0.9214506043,0.8853765927,1.148017009,1.003395561,1.151671835,0.972782118,1.010642386,1.014618799,0.9321070209,0.9516731072
"ATH","LHH","",2270,515,304,114,90,22.2,8.8,0.264,0.451,0.344,0.34,0.28,0.2268722467,0.1339207048,0.05022026432,0.03964757709,0.2217651515,0.08978787879,0.2411969697,0.3819166667,0.3096515152,0.2827272727,0.2358106061,1.039309779,0.9575874288,1.19209469,1.249924939,0.9597413889,1.098856344,1.013583506,0.9884343295,1.013623185,1.013680936,1.021530323
"PHI","LHH","",5065,1124,691,197,221,26.5,15.1,0.267,0.573,0.408,0.262,0.249,0.2219151037,0.1364264561,0.03889437315,0.04363277394,0.2419848485,0.07228787879,0.2276666667,0.3629393939,0.2863282828,0.2821414141,0.2312727273,1.016600931,0.9755045677,0.9232483411,1.375561794,1.047246932,0.8846850518,0.9567250304,0.9393194584,0.9372761695,1.011580418,1.001872255
"PIT","LHH","",4687,1017,626,246,127,28.1,10.3,0.26,0.479,0.357,0.334,0.26,0.2169831449,0.1335609132,0.05248559846,0.0270962236,0.2236363636,0.07885353535,0.2401414141,0.4045606061,0.3128838384,0.2834292929,0.2299343434,0.9940074536,0.9550147721,1.245867661,0.8542324172,0.967839504,0.9650379175,1.009147738,1.04703886,1.024203975,1.016197936,0.9960743835
"SDP","LHH","",5249,1121,745,204,153,3.5,2.8,0.305,0.386,0.313,0.293,0.294,0.2135644885,0.1419317965,0.03886454563,0.02914840922,0.2565678392,0.08128643216,0.2145879397,0.3613718593,0.2872964824,0.2564120603,0.2076984925,0.9783464679,1.014869988,0.9225403156,0.9189293843,1.11035829,0.9948125834,0.9017642158,0.9352625392,0.940445505,0.9193312511,0.8997487924
"SEA","LHH","",5468,1089,698,214,168,22.2,10.8,0.255,0.38,0.32,0.284,0.226,0.1991587418,0.1276517922,0.0391367959,0.03072421361,0.2601809524,0.06351904762,0.2411666667,0.3934857143,0.2992809524,0.2662809524,0.2150761905,0.9123532332,0.9127621577,0.9290028086,0.9686080115,1.125994896,0.7773689431,1.013456163,1.018376055,0.9796758528,0.9547148477,0.9317089419
"SFG","LHH","",4970,1087,709,232,111,21.3,10.9,0.249,0.436,0.335,0.307,0.259,0.2187122736,0.1426559356,0.04668008048,0.02233400402,0.2313853659,0.0714,0.2414731707,0.3805121951,0.2984195122,0.2768585366,0.2266829268,1.001928654,1.020047876,1.108060199,0.7040992327,1.001375152,0.8738188719,1.014744187,0.9847994321,0.9768559869,0.9926393654,0.9819892636
"STL","LHH","",5261,1169,792,228,128,11.8,7.1,0.281,0.447,0.346,0.3,0.277,0.2222011025,0.1505417221,0.04333776849,0.02432997529,0.2118928571,0.06592346939,0.2463622449,0.3848928571,0.3009846939,0.2771938776,0.2275816327,1.017911102,1.076434452,1.028722656,0.7670239924,0.9170166892,0.8067951212,1.035289573,0.9961369753,0.9852529347,0.9938416857,0.9858824526
"TBR","LHH","",2841,625,432,105,83,26.2,5,0.253,0.485,0.331,0.27,0.24,0.2199929602,0.1520591341,0.03695881732,0.02921506512,0.2624191176,0.06886764706,0.2342426471,0.3787058824,0.2953308824,0.2886838235,0.2279705882,1.007795524,1.087284565,0.877303425,0.9210307704,1.135681088,0.8428270261,0.9843593131,0.9801245338,0.9667455671,1.035037355,0.9875674061
"TEX","LHH","",5118,1059,694,197,151,20,8.7,0.263,0.395,0.323,0.329,0.277,0.2069167644,0.1355998437,0.03849159828,0.02950371239,0.2330144928,0.07418357488,0.2391207729,0.3918019324,0.3039178744,0.2435120773,0.2026183575,0.9478930088,0.9695939535,0.9136875435,0.9301306309,1.008425586,0.9078852621,1.004858691,1.014018277,0.9948545018,0.8730800822,0.877741674
"TOR","LHH","",4837,1012,600,230,164,27.9,7.7,0.195,0.352,0.273,0.271,0.229,0.2092205913,0.1240438288,0.04755013438,0.03390531321,0.2410333333,0.08476666667,0.2331952381,0.3836047619,0.3044761905,0.2481714286,0.2057142857,0.9584469213,0.8869637539,1.128712951,1.06889499,1.043129024,1.037404945,0.97995778,0.9928032702,0.9966821115,0.8897855649,0.891153219
"WAS","LHH","",5697,1326,879,250,169,19.4,6,0.24,0.379,0.297,0.268,0.231,0.2327540811,0.1542917325,0.0438827453,0.02966473583,0.2113585859,0.08039393939,0.2544545455,0.4092878788,0.3225050505,0.3072777778,0.2513434343,1.06625467,1.10324855,1.041658948,0.9352070373,0.9147045032,0.983889936,1.069295898,1.059273463,1.055698359,1.101703498,1.088818454
